Open,High,Low,Close,Volume
102,103.199997,100.32,101.565002,10468520
103,104.949997,102.805,104.410004,10059080
104.415001,111.300003,103.400002,110.040001,18289930
111.5,112.525002,99.599998,100.925003,37782380
100,105.699997,97.5,101.75,21413570
101.199997,102.199997,99,100.370003,18056570
100,101.199997,97.510002,98.885002,12528110
104.470001,104.470001,96.690002,97.754997,28325170
96,96,90.705002,92.480003,29247490
93.800003,94.455002,92.220001,93.754997,7808800
94.900002,95.449997,93.150002,94.110001,10148450
92.5,92.5,90.199997,91.245003,8011110
90.68,90.68,88,88.945,19760400
90,91.699997,88.199997,90.050003,16299600
89.260002,91.129997,86.510002,87.245003,15929700
89.699997,90.394997,88,88.945,12274930
89.800003,91.580002,89.535004,91.175003,13174590
92.489998,93.754997,91,92.345001,23436980
89.239998,93.5,89.239998,92.559998,7484510
92,92.050003,87.699997,88.870003,13079720
89.535004,90.980003,89,89.82,11480200
91,92.254997,88.214996,88.584999,37993560
89.495003,89.970001,88.010002,88.425003,10773010
89.300003,90.480003,88.639999,89.839996,11709830
90.800003,92.199997,90.300003,91.945,10290560
92.525002,95.815002,92.135002,94.699997,8321990
92.699997,94.294998,90.699997,93.449997,9321390
93.519997,94.099998,92.455002,93.385002,7140320
94,95.389999,93.699997,94.415001,7607900
94,94,90.800003,91.394997,13997680
90.699997,91.440002,87.025002,88.029999,17182670
87.5,88.800003,86.495003,87.639999,7830490
88.400002,89.220001,87.434998,88.455002,8960790
87.599998,87.889999,85.360001,86.650002,9997450
85.300003,86,83.5,85.449997,7685210
86.489998,87.135002,86.019997,86.43,10926310
86.629997,88.285004,84.099998,87.480003,32437620
87.099998,89.790001,84.300003,88.949997,13551940
87.309998,87.695,83.75,84.57,18569110
83.695,84.32,82,83.150002,16714920
83.099998,85,83,83.900002,17119990
84.970001,85.449997,79.114998,80.139999,24224790
80,82.794998,77.400002,80.18,23708540
79.900002,81.470001,78.224998,79.875,17589460
81.5,83.400002,79.114998,79.864998,28705440
81.5,83.68,81.224998,83.425003,45726300
84,85.260002,82.665001,84.485001,27255110
84.400002,85.900002,80.910004,82.815002,20923510
83.989998,86,83.220001,84.300003,18910410
84.870003,86.300003,81.900002,83.239998,24426110
82.985001,84.169998,81.099998,83.93,20286070
85.385002,89.980003,84.199997,88.5,20449730
91.625,97.400002,91,94.169998,37700540
94.790001,97.690002,93.699997,97.214996,17909000
98.800003,100.5,97.514999,99.339996,23156420
98.099998,101.300003,98.089996,100.144997,22880780
98,98,94.07,94.550003,13254840
95.199997,98.790001,90.440002,97.339996,37202700
98.5,100.5,95.160004,100,12946820
101.099998,105.190002,101.099998,103.654999,17795660
105.5,107.5,104.025002,106.415001,13472880
106.5,106.5,99.230003,104.675003,26514260
106.379997,108,103.209999,104.440002,14886190
104,111.495003,104,109.834999,17111010
105.485001,110.470001,104.25,108.275002,31337760
109.879997,110.775002,105.724998,106.610001,19520750
108.400002,109.800003,105.654999,107.190002,23521060
107,110,104.824997,106.709999,11465890
104,110,103.480003,108.709999,15048050
109,110.235001,106.5,108.934998,12091220
109.5,110,106.550003,109.25,14411550
110,112.290001,107.699997,111.025002,18655130
110,113.995003,109,111.540001,14392790
111.824997,112.699997,106.300003,107.184998,14800880
108.599998,111,107.199997,110.035004,21428150
221,221,221,221,0
115.004997,120.699997,112.025002,119.940002,22633070
120.68,120.995003,116.5,119.324997,15231940
119.010002,119.900002,116.099998,117.195,12143090
118,118.800003,116.665001,117.635002,7728840
116,117.5,111.455002,114.404999,22569330
118.769997,118.769997,113.800003,114.699997,16918360
114.400002,120.394997,113.925003,119.529999,17304420
119.5,119.879997,114.699997,116.43,23759760
115.224998,116.900002,112.125,116.364998,9601650
117.5,119.199997,115.720001,118.495003,20759960
126.114998,153.970001,126.114998,137.809998,135750
139.199997,149.899994,120.629997,141.179993,49653480
139.699997,141.100006,135.100006,138.059998,14518990
137.440002,140.5,133.419998,137.100006,19088350
135.899994,139.389999,134.115005,136.985001,9138040
137.5,138.985001,134.639999,136.360001,8380670
136.850006,139.195007,132.5,133.600006,12475810
137.009995,141.899994,136.725006,140.910004,26970540
140.100006,145.369995,138.399994,143.994995,35154430
144.460007,145.990005,142.100006,144.449997,15360700
145.399994,148.399994,141.675003,143.365005,11111180
143.449997,145,137.899994,139.779999,9788620
142,142.800003,134.789993,137.074997,14329760
136.100006,139.970001,135.199997,138.880005,12131480
139.889999,143.100006,138.514999,141.860001,10107420
142,142.5,138.5,140.005005,7854740
138.990005,143,137.820007,142.024994,6446650
144.024994,154.899994,143.5,150.125,16238230
152.5,157,150.130005,155.649994,18136490
156.649994,157.899994,151.600006,152.815002,11743780
152.369995,156.050003,150.199997,153.304993,9209670
150.800003,155,148.649994,154.619995,13729040
154,158.399994,152,154.475006,17855710
153,156.470001,150.675003,152.485001,15667760
153.509995,156.889999,152.5,155.884995,8915220
157.869995,157.869995,152.419998,154.309998,10216530
151.470001,151.470001,145.634995,148.544998,14706500
153.660004,153.660004,145.119995,145.770004,11891810
149.970001,149.970001,145.600006,146.449997,19891170
148,150.119995,147.100006,149.830002,18387660
150.5,153.289993,149.199997,150.779999,18100240
152.395004,152.5,147.925003,149.315002,10292420
149.800003,151.800003,148.315002,150.25,5927280
150.899994,150.899994,146.524994,150.050003,6792600
148.990005,152.5,148.300003,151.574997,9805270
152.5,154.800003,140,142.395004,15250410
144,144.970001,140.5,142.729996,10339870
141.470001,141.5,136.024994,137.529999,10809700
137.600006,140.899994,136.5,139.990005,5845740
140.5,141.479996,136.029999,137.884995,10733910
137,138.190002,135,137.380005,7641280
139.115005,142.979996,134.220001,136.255005,25535120
139,139,133.304993,138.175003,21291690
140,140.699997,136.199997,139.044998,14423200
139,144.884995,137.404999,143.664993,12488670
145.100006,148.600006,142.029999,147.375,11256780
146.699997,147.960007,145.164993,146.089996,8386610
147,147.369995,143.300003,144.514999,14934610
145.964996,147.024994,143.464996,145.904999,12939260
146,146.800003,142.899994,144.994995,11055600
145.699997,147,142.5,143.339996,9851210
144.399994,144.5,139.699997,142.445007,16498240
143.770004,143.770004,138.5,141.869995,9952600
141.869995,147.199997,139.899994,146.434998,18620770
148.014999,150.949997,147.425003,149.910004,12897840
150,150.899994,146.014999,149.345001,5464490
150.5,150.774994,145.639999,146.904999,9723610
147.869995,147.869995,143.380005,144.785004,10904220
144,145.5,140.199997,141.360001,16653100
141,142.600006,137.899994,139.020004,14244010
141.399994,141.509995,136,137.535004,13839860
137.5,138.789993,136,137.914993,10135360
136.5,141.199997,135.5,140.625,9196410
143.490005,143.490005,140.524994,142.455002,10265640
144.899994,144.899994,141.100006,142.729996,6128200
140.899994,142.074997,139.5,140.619995,13490650
140.100006,145.490005,140.100006,144.089996,12637250
144.095001,145.970001,141.100006,144.975006,11001730
145.899994,149,145.5,148.005005,7238800
147.899994,148.5,144.535004,146.595001,10416970
149.800003,150.179993,146.699997,148.464996,6370940
146.850006,149.899994,146.050003,148.695007,4774490
149.800003,151.869995,145.005005,146.059998,6553420
145,146.199997,144.399994,145.699997,7419020
145.5,146.5,143.5,145.774994,4587910
143.5,148.304993,143.5,147.100006,6597470
148.005005,148.684998,142.779999,144.610001,6157040
143.205002,145.184998,142.535004,143.875,3171370
144.5,144.800003,142.5,143.539993,5029830
143.5,146,142.5,145.425003,5333860
146.005005,147.600006,144.820007,146.740005,7618340
147.464996,148.195007,145,145.684998,7411310
146.479996,148.199997,145.559998,147.544998,13553000
149,150.300003,148,148.554993,8887250
149,149.610001,146.460007,149.125,7215440
149.125,150.399994,148.399994,149.380005,6227390
149.5,151.824997,149.214996,151.425003,10878400
153,153.505005,150.570007,151.679993,11578720
152.729996,153.899994,152.070007,153.490005,12056100
153.600006,153.770004,151.100006,152.445007,4114790
152,155,151.600006,154.634995,6725810
155.5,159.889999,153.149994,156.960007,13065700
154.595001,163.669998,154.595001,162.380005,22225260
160.279999,162.425003,159.199997,160.854996,5618820
162.399994,163.479996,160.110001,161.134995,3887000
161.600006,166,160.419998,165.050003,11988620
164,166.839996,162.024994,164.429993,8647990
162.100006,164.5,161.699997,163.404999,5484940
165.899994,166.490005,160.490005,165.964996,5753640
167.399994,171,167,167.770004,10843330
166,169.490005,164.994995,168.735001,8404940
166,169,166,167.565002,4504800
166.300003,171,164.5,170.225006,7800690
338.390015,338.390015,338.390015,338.390015,0
170.5,172.899994,168.615005,170.220001,7821210
171.035004,173.5,169.410004,172.229996,9386160
173.199997,173.880005,171.235001,171.964996,8259850
168.264999,172,168,169.130005,4694190
166,170.205002,165.085007,166.110001,6423760
164.100006,167.699997,164,166.600006,3789870
167.5,169.899994,166.119995,169.190002,3788490
167.100006,169.699997,166.5,169.289993,4082410
166,170,166,167.009995,9577570
166,166.979996,160.514999,161.955002,6660450
160.5,163.940002,157.024994,161.320007,10245440
162.199997,168.800003,160.550003,162.070007,7646190
161.679993,163.949997,158.399994,160.050003,4751260
160.5,164.699997,158.134995,162.395004,6275230
161.979996,163.779999,158.699997,162.335007,9871450
163.5,165.350006,162.199997,164,5739060
164.100006,171,164,170.744995,8736220
170.035004,174.190002,169.169998,170.345001,9364350
167.539993,174,167.539993,173.585007,7595900
172.865005,174.199997,170.759995,171.654999,7844950
170.554993,174.100006,170.554993,172.225006,8622910
172.294998,174.979996,171.899994,172.360001,6065560
174.485001,175.695007,170.130005,174.964996,7006900
171.175003,175.5,171.175003,174.960007,9465300
174.800003,174.800003,170.399994,171.955002,5941120
170.899994,176.149994,170.899994,175.399994,7653960
173.529999,178,173.529999,176.544998,5873220
175,178,174.009995,177.690002,4401650
175.134995,180.899994,175.134995,180.270004,7874790
175,181,175,176.119995,8028820
174.199997,176.369995,168.235001,175.035004,7487760
176.5,178.699997,174.225006,176.625,8755640
177.970001,179.899994,175,178.970001,5487530
178.009995,181.350006,177.625,180.710007,11851660
178.854996,182.399994,178.854996,180.695007,4876470
178.615005,180.100006,177.509995,178.955002,3389280
179,180.770004,178.494995,179.735001,4551060
178.699997,183.899994,177.240005,183.324997,6830640
180.565002,183.479996,179.149994,180.434998,8034370
179.134995,180.5,177.235001,178.509995,6116960
178.884995,179.899994,176.309998,178.514999,5976600
178.470001,180,174.899994,175.729996,8071120
173.654999,176.699997,169,170.080002,8543180
167.660004,170.884995,167.5,169.335007,8580920
168,169.699997,166.699997,167.149994,6597670
165.139999,167.320007,164.684998,166.410004,6281780
166.410004,167.119995,164.705002,165.274994,8594430
166,166.720001,164.210007,164.654999,6274310
null,null,null,null,null
null,null,null,null,null
null,null,null,null,null
null,null,null,null,null
null,null,null,null,null
170,172.850006,169.255005,170.570007,3050490
171,172.5,170.5,170.720001,8386600
171.399994,172,168.809998,170.835007,6639840
176.839996,176.839996,170.160004,171.279999,6123980
171.199997,172.339996,170.100006,171.505005,7085900
174.865005,174.865005,170.25,170.815002,13766610
170.800003,171.179993,167.860001,169.520004,4907050
168.494995,169.479996,166.554993,168.929993,10346750
171,171.380005,167,168.380005,10172640
169.839996,169.899994,167.100006,169.414993,11581730
169,177.800003,168.210007,176.664993,23501460
176.5,178.880005,175.289993,177.919998,16664220
178.5,179,174.300003,175.610001,13652110
176.089996,176.089996,170.509995,171.164993,12523470
169.600006,170,165.399994,167.710007,9473700
166,167.789993,163.130005,165.669998,6028790
166.110001,166.110001,158.690002,159.720001,12107790
161,161.899994,157.679993,159.324997,17432230
158,163.699997,155.25,163.104996,16435170
162.800003,162.800003,158.5,159.975006,7517330
160.699997,161.490005,157.199997,157.910004,10334700
160,163.240005,157.800003,162.274994,7727670
161.800003,162.490005,158.550003,161.675003,8605240
159.800003,159.800003,156.5,157.335007,9346940
null,null,null,null,null
158.5,158.884995,154.899994,156.740005,7590600
156.679993,157.789993,155.149994,157.164993,11973750
157.5,161.744995,156.399994,159.354996,13866680
160.399994,163.300003,159,159.800003,7269690
159.699997,161.970001,158.25,161.380005,4802490
160.5,162.270004,159,160.639999,7174850
161.800003,166.095001,161.490005,165.595001,12398340
166.490005,169,165.074997,168.375,10004420
167,170,165.610001,169.389999,7345990
170.100006,171.970001,169,169.660004,6640170
168.505005,170.884995,168.235001,170.100006,6472890
169,171,168.75,170.050003,5605690
170.100006,170.399994,168.199997,169.104996,5836970
169,173.475006,168,170.479996,9351030
172.399994,175.600006,170.600006,174.494995,7714650
