,Predicted Values,,,,Actual Values,,,
Date,Open,High,Low,Close,Open,High,Low,Close
06/01/20,1258.6127,1271.1709,1247.2734,1260.2971,1260,1261.800049,1236,1240.949951
07/01/20,1258.1108,1270.6366,1246.7324,1259.7855,1258.900024,1271.449951,1252.25,1260.599976
08/01/20,1257.0426,1269.5358,1245.6268,1258.715,1246.949951,1262.150024,1240.050049,1257.300049
09/01/20,1255.4796,1267.9375,1244.0303,1257.1492,1265,1275.800049,1263.099976,1271.400024
10/01/20,1253.4037,1265.8235,1241.9242,1255.0725,1284.099976,1286.900024,1275.099976,1282.699951
13/01/20,1251.2565,1263.6416,1239.7664,1252.9225,1282.699951,1296.5,1276,1286
14/01/20,1249.6655,1262.0306,1238.2015,1251.3278,1289,1292.550049,1277.5,1289.5
15/01/20,1248.9686,1261.3354,1237.5659,1250.6306,1286.400024,1287.949951,1274.099976,1284.25
16/01/20,1249.2247,1261.613,1237.9025,1250.8895,1282.050049,1291,1279.349976,1287.650024
17/01/20,1250.2219,1262.6456,1238.9789,1251.8921,1281.75,1284.900024,1271.900024,1278.150024
20/01/20,1251.6346,1264.097,1240.4519,1253.3104,1304.849976,1304.849976,1252.5,1254.900024
21/01/20,1253.1729,1265.6705,1242.0237,1254.8529,1250,1250,1238.400024,1244.349976
22/01/20,1254.6698,1267.1956,1243.5287,1256.3519,1248.050049,1255,1234.400024,1240.849976
23/01/20,1255.2444,1267.779,1244.0643,1256.9348,1240,1246.849976,1231,1244.849976
24/01/20,1254.5143,1267.0302,1243.2527,1256.2103,1246,1254,1239.099976,1244.550049
27/01/20,1252.4203,1264.8912,1241.0542,1254.1188,1235,1235,1211.75,1213.199951
28/01/20,1249.3751,1261.7855,1237.9136,1251.0718,1218.800049,1227.800049,1213.25,1223.199951
29/01/20,1245.524,1257.8673,1233.9867,1247.2212,1225.300049,1242,1222.25,1235.849976
30/01/20,1240.9855,1253.2593,1229.3943,1242.6855,1238.949951,1238.949951,1217.199951,1226.050049
31/01/20,1236.265,1248.4757,1224.6569,1237.9677,1231.449951,1237.800049,1220.25,1226.300049
03/02/20,1231.7959,1243.9587,1220.213,1233.5026,1197,1197.949951,1177.699951,1192.800049
04/02/20,1227.8285,1239.9626,1216.3073,1229.5431,1198,1234,1198,1229.800049
05/02/20,1223.7446,1235.8578,1212.2816,1225.4742,1234.900024,1248,1227.300049,1244.650024
06/02/20,1219.7673,1231.8629,1208.3643,1221.5073,1244.650024,1248.699951,1237.199951,1239.800049
07/02/20,1216.6428,1228.7362,1205.326,1218.3898,1246,1247,1231.599976,1242.199951
10/02/20,1214.7803,1226.8955,1203.5793,1216.5371,1242.949951,1242.949951,1226.050049,1240.300049
11/02/20,1214.1344,1226.293,1203.0613,1215.9061,1243.300049,1255,1238.050049,1240.599976
12/02/20,1214.4124,1226.6262,1203.4557,1216.2001,1245.199951,1252.900024,1244.050049,1249
13/02/20,1215.4126,1227.6852,1204.5511,1217.2133,1259.900024,1259.900024,1233.599976,1241.400024
14/02/20,1216.9031,1229.2314,1206.11,1218.7134,1243.199951,1248.400024,1215,1219.349976
17/02/20,1218.7191,1231.0968,1207.9684,1220.535,1225,1233,1214.449951,1217.150024
18/02/20,1220.3848,1232.7987,1209.6412,1222.2047,1216.900024,1218.5,1203.5,1213.25
19/02/20,1221.3384,1233.7664,1210.559,1223.1608,1222.5,1230,1213.900024,1227.199951
20/02/20,1221.1969,1233.6119,1210.3428,1223.0186,1230,1230,1214.099976,1217.099976
24/02/20,1220.173,1232.5537,1209.2323,1221.9877,1208.949951,1214.75,1200,1209.949951
25/02/20,1218.6248,1230.962,1207.6106,1220.4318,1204,1209,1198,1200.300049
26/02/20,1216.6313,1228.9227,1205.5599,1218.4346,1197.5,1204.699951,1185.650024,1199.25
27/02/20,1214.1462,1226.3904,1203.0298,1215.9497,1195,1202.5,1181,1199.449951
28/02/20,1211.143,1223.3375,1199.9895,1212.949,1175.5,1185,1170.099976,1177.650024
02/03/20,1207.7894,1219.9353,1196.6125,1209.5984,"1,195.00","1,200.05","1,167.00","1,182.15"
