Date,Open,High,Low,Close,Volume
02/01/09,170,174,167.949997,170.850006,364714
05/01/09,171,174.449997,168.899994,172.149994,331150
06/01/09,173,178,169.199997,177.050003,553198
07/01/09,179.25,183.899994,170,175.149994,809715
09/01/09,172,172.899994,162,166.25,294477
12/01/09,166.399994,172.399994,165,166.649994,175333
13/01/09,168,169.399994,162.25,163.649994,120630
14/01/09,166,168.949997,163.699997,166.5,171766
15/01/09,161.199997,165.5,157,160,155803
16/01/09,164.449997,166,159.649994,164.800003,163796
19/01/09,165.199997,174.899994,164.550003,165.149994,78828
20/01/09,162,164,159.300003,160.5,288868
21/01/09,159.5,162,155.050003,156.399994,190459
22/01/09,156.449997,158.050003,152,154.449997,131037
23/01/09,154,155.800003,147,149.449997,252153
27/01/09,150,153.949997,149.100006,153.050003,150633
28/01/09,156,158,152.850006,156.350006,233944
29/01/09,157,159.199997,151.100006,156.050003,315530
30/01/09,155,155.449997,152,153.149994,353022
02/02/09,153,157.399994,151,151.949997,330832
03/02/09,154.699997,154.699997,146.149994,149.5,265607
04/02/09,151.100006,152,145.5,146.399994,194012
05/02/09,149,149,142.100006,144.350006,173466
06/02/09,148,149,145.100006,146.100006,226503
09/02/09,147,149.300003,146.899994,148.199997,442447
10/02/09,149.699997,153.800003,148.5,150.75,275848
11/02/09,149,152.399994,148,150.100006,418283
12/02/09,151.100006,155.949997,147.100006,149.149994,679625
13/02/09,151.899994,151.899994,148.300003,149.850006,509153
16/02/09,149.199997,150.449997,144.550003,145.100006,122747
17/02/09,143.600006,144.949997,137,140.949997,176057
18/02/09,140,143.800003,138.100006,140.850006,257854
19/02/09,142.800003,144,136.550003,137.75,145215
20/02/09,137,139,135,136.300003,149918
24/02/09,135.949997,135.949997,130.550003,131.300003,186822
25/02/09,133.600006,134.899994,130.100006,130.800003,289562
26/02/09,130.100006,131.5,127,127.849998,532323
27/02/09,128,128.449997,123.599998,124.099998,422413
02/03/09,124.099998,124.099998,115.5,116.449997,461305
03/03/09,113.099998,117.5,112.349998,113.550003,467684
04/03/09,114,116.949997,112.050003,112.650002,371679
05/03/09,113,114.75,106.400002,107.699997,719603
06/03/09,103,106.900002,100.099998,104.449997,516834
09/03/09,105.5,106.900002,99.300003,99.949997,620752
12/03/09,103.75,104.949997,99.599998,100.449997,1492477
13/03/09,102.400002,109.400002,95.199997,108.25,1963534
16/03/09,114,114,108,109.400002,808568
17/03/09,114,114.699997,110,112.550003,1133198
18/03/09,114.800003,118,113,116.5,656562
19/03/09,114,119.900002,113.599998,115.300003,1092374
20/03/09,117,119.199997,114.5,118.550003,376609
23/03/09,117.75,126.650002,117.75,125.949997,538386
24/03/09,133.850006,138.550003,127,134.149994,1246904
25/03/09,134,135,129.649994,133.949997,258056
26/03/09,138,143.25,135,141.300003,913783
27/03/09,143.949997,147.800003,141.199997,145.050003,405398
30/03/09,146.699997,152.399994,138.699997,139.850006,842786
31/03/09,140.100006,143.5,136.050003,141.550003,754705
01/04/09,142,146.25,140,143,342537
02/04/09,145,152.75,145,150.899994,888946
06/04/09,151.050003,159,150.199997,154.199997,519707
08/04/09,153.199997,156.949997,147.100006,155.149994,727503
