Open,High,Low,Close,Volume
170,174,167.949997,170.850006,364714
171,174.449997,168.899994,172.149994,331150
173,178,169.199997,177.050003,553198
179.25,183.899994,170,175.149994,809715
172,172.899994,162,166.25,294477
166.399994,172.399994,165,166.649994,175333
168,169.399994,162.25,163.649994,120630
166,168.949997,163.699997,166.5,171766
161.199997,165.5,157,160,155803
164.449997,166,159.649994,164.800003,163796
165.199997,174.899994,164.550003,165.149994,78828
162,164,159.300003,160.5,288868
159.5,162,155.050003,156.399994,190459
156.449997,158.050003,152,154.449997,131037
154,155.800003,147,149.449997,252153
150,153.949997,149.100006,153.050003,150633
156,158,152.850006,156.350006,233944
157,159.199997,151.100006,156.050003,315530
155,155.449997,152,153.149994,353022
153,157.399994,151,151.949997,330832
154.699997,154.699997,146.149994,149.5,265607
151.100006,152,145.5,146.399994,194012
149,149,142.100006,144.350006,173466
148,149,145.100006,146.100006,226503
147,149.300003,146.899994,148.199997,442447
149.699997,153.800003,148.5,150.75,275848
149,152.399994,148,150.100006,418283
151.100006,155.949997,147.100006,149.149994,679625
151.899994,151.899994,148.300003,149.850006,509153
149.199997,150.449997,144.550003,145.100006,122747
143.600006,144.949997,137,140.949997,176057
140,143.800003,138.100006,140.850006,257854
142.800003,144,136.550003,137.75,145215
137,139,135,136.300003,149918
135.949997,135.949997,130.550003,131.300003,186822
133.600006,134.899994,130.100006,130.800003,289562
130.100006,131.5,127,127.849998,532323
128,128.449997,123.599998,124.099998,422413
124.099998,124.099998,115.5,116.449997,461305
113.099998,117.5,112.349998,113.550003,467684
114,116.949997,112.050003,112.650002,371679
113,114.75,106.400002,107.699997,719603
103,106.900002,100.099998,104.449997,516834
105.5,106.900002,99.300003,99.949997,620752
103.75,104.949997,99.599998,100.449997,1492477
102.400002,109.400002,95.199997,108.25,1963534
114,114,108,109.400002,808568
114,114.699997,110,112.550003,1133198
114.800003,118,113,116.5,656562
114,119.900002,113.599998,115.300003,1092374
117,119.199997,114.5,118.550003,376609
117.75,126.650002,117.75,125.949997,538386
133.850006,138.550003,127,134.149994,1246904
134,135,129.649994,133.949997,258056
138,143.25,135,141.300003,913783
143.949997,147.800003,141.199997,145.050003,405398
146.699997,152.399994,138.699997,139.850006,842786
140.100006,143.5,136.050003,141.550003,754705
142,146.25,140,143,342537
145,152.75,145,150.899994,888946
151.050003,159,150.199997,154.199997,519707
153.199997,156.949997,147.100006,155.149994,727503
157.399994,162,154.399994,157.050003,771189
158.800003,169.649994,157.550003,167.850006,724248
166,175.25,164.100006,170.25,965410
173.399994,175,164.25,167.199997,737903
169.699997,172,158.199997,160.300003,842963
160,168.100006,159.899994,167,418733
167,167,159.5,162.649994,498232
165.800003,167.949997,159.5,160.100006,1088094
163,165,159.100006,163.25,468112
165,168.75,163.050003,167.600006,324983
169,170.5,162.899994,167.5,344941
168,168.300003,164,164.899994,230435
166.149994,172,165,171.550003,371405
171.5,171.5,171.5,171.5,0
175,187.399994,171.5,186.600006,887440
189.25,194,182.699997,190.25,568847
192,195.5,185.399994,186.399994,500934
189,190.850006,181,187.850006,629312
187,189.5,183.149994,185.600006,462975
185.600006,194.899994,181.050003,182.399994,365340
180.050003,181,175,176.5,740981
178,183,177,180.550003,372123
177,180.5,172.100006,179.25,474819
180,186,178.5,183.449997,570732
195,203,192.100006,202.550003,3262
203,214.399994,190,200.899994,538754
201,227,201,217.949997,489888
215,246.899994,215,242.800003,1074660
245,249.399994,221.199997,225.550003,971304
228,233.949997,224.899994,226.350006,701224
228.5,236.399994,208.199997,211.75,1799759
215,223.899994,215,221.800003,400202
223.899994,231,222.25,226.550003,807965
230,234.850006,214,216.350006,1549173
220,227,215.300003,216.350006,2300351
218,222,215.5,220.899994,1963115
224,236.800003,223,227.149994,2084098
227.149994,241,223.5,239.850006,2327420
244,245.850006,234,236,1759827
236,238.449997,221.399994,222.600006,1170227
225,232,219.550003,230.550003,933709
234,245,231.100006,242.25,1194106
245.050003,263.899994,242.25,261.299988,3071167
264,269,243,246.149994,1829036
244,247.949997,232,240.899994,1015675
240,248.5,235,246.149994,1054072
249,255.949997,240,242.600006,1063722
243,244.800003,226,230.949997,604062
232,239.600006,230.100006,234.300003,1093491
236,244.600006,235.149994,237.300003,441360
234.899994,237.899994,228.25,229.899994,600074
232,237,228.149994,233.100006,422496
235,236.449997,222,224.600006,1372959
226,231,225,227.949997,583424
230,231.600006,222.899994,224.550003,624115
229.899994,229.899994,215.899994,217.350006,585262
220,221.800003,217.050003,220.850006,370237
223,227.850006,219.800003,221,774948
215.050003,227.800003,215.050003,225.850006,321308
228.800003,229.899994,212,213.149994,506124
214.899994,218,211.100006,212.75,380822
214,214,200.149994,203.25,664205
203.899994,208.399994,203.050003,205.75,449380
207,209.899994,196.149994,199.350006,596094
196.050003,203,194.100006,196.449997,892018
193.850006,197.550003,189,195.25,761822
199.800003,207.5,197.600006,206.050003,1135286
209.699997,209.75,202.199997,204.899994,927689
206,208.199997,204.699997,206.550003,592474
