,Predicted Values,,,,Actual Values,,,
Date,Open,High,Low,Close,Open,High,Low,Close
06/01/20,1822.7836,1848.4138,1792.8083,1803.3253,1905,1906.099976,1856.949951,1886.199951
07/01/20,1827.7817,1853.5911,1797.8973,1808.3446,1885.5,1910,1865.900024,1872.75
08/01/20,1834.1367,1860.1075,1804.3041,1814.694,1865,1887.550049,1853.599976,1866.349976
09/01/20,1839.564,1865.6333,1809.7289,1820.0923,1872,1896.300049,1866.099976,1878.800049
10/01/20,1842.0253,1868.1035,1812.1332,1822.5153,1901.199951,1912,1880,1899.050049
13/01/20,1842.5256,1868.5801,1812.5724,1822.9861,1907,1908.5,1888,1899.400024
14/01/20,1844.0548,1870.1324,1814.0851,1824.4973,1900,1908,1881.300049,1885.300049
15/01/20,1846.9219,1873.0527,1816.9547,1827.3396,1885.099976,1902.300049,1870.25,1898.199951
16/01/20,1849.5438,1875.7092,1819.564,1829.9211,1906,1967.949951,1903,1924.400024
17/01/20,1851.4976,1877.6831,1821.4979,1831.8306,1936.400024,2028,1928.699951,2006.349976
20/01/20,1858.3344,1884.669,1828.3962,1838.6389,2006.349976,2073.649902,1985.550049,2027.699951
21/01/20,1876.7428,1903.463,1846.9828,1857.0267,2025,2056.850098,1992,2020.150024
22/01/20,1904.0862,1931.2723,1874.4886,1884.3048,2030,2044.949951,1992.099976,2000.949951
23/01/20,1931.0662,1958.5658,1901.463,1911.1508,2003.949951,2035.550049,2001,2020.5
24/01/20,1951.6819,1979.279,1921.8926,1931.593,2029,2062,2025,2036.949951
27/01/20,1964.0698,1991.5957,1933.9789,1943.8044,2036.949951,2055.949951,2005.5,2027.150024
28/01/20,1972.7793,2000.2373,1942.4297,1952.3705,2000,2000,1900.599976,1916.400024
29/01/20,1978.5693,2005.9636,1948.0017,1958.0342,1907,1956.300049,1907,1937.5
30/01/20,1983.0482,2010.3654,1952.296,1962.4337,1948,1955.949951,1922.5,1936.300049
31/01/20,1972.9365,1999.7682,1941.7079,1952.2164,1949,1952.150024,1921,1931.099976
03/02/20,1955.6055,1981.8433,1923.9238,1934.847,1906.900024,1917.599976,1887.800049,1906.099976
04/02/20,1933.4948,1959.078,1901.4244,1912.7341,1916.099976,1936.5,1912,1928.75
05/02/20,1910.2637,1935.2375,1877.9362,1889.521,1940.349976,2026.900024,1928.800049,2001.25
06/02/20,1892.5127,1917.0967,1860.1483,1871.8011,1980,2028.800049,1976.900024,2001.400024
07/02/20,1889.4211,1914.037,1857.3074,1868.7369,2001,2040,1995.599976,2020.800049
10/02/20,1902.1018,1927.0964,1870.3944,1881.3916,2024,2028.599976,1987,2009.199951
11/02/20,1922.2659,1947.7286,1890.9128,1901.4512,2014.050049,2054.949951,2004.050049,2013.75
12/02/20,1941.8352,1967.7021,1910.7008,1920.872,2015,2023.5,2000,2010.400024
13/02/20,1959.4061,1985.6483,1928.4233,1938.3109,2003,2089.899902,1980,2080.199951
14/02/20,1970.8893,1997.3873,1939.943,1949.6873,2093.149902,2120,2064,2112.5
17/02/20,1981.2571,2008.0511,1950.3899,1960.0142,2115,2155,2102.25,2143.350098
18/02/20,1994.9849,2022.1765,1964.2919,1973.7444,2143,2158,2113.399902,2131.899902
19/02/20,2012.0751,2039.7036,1981.5901,1990.8243,2141.899902,2287.25,2135.100098,2242.149902
20/02/20,2029.0096,2057.009,1998.6736,2007.6975,2240,2259,2230.050049,2238.949951
24/02/20,2055.0264,2083.6086,2025.0493,2033.6744,2238.949951,2239.399902,2162.800049,2170.949951
25/02/20,2084.092,2113.2498,2054.4612,2062.6492,2172,2229.850098,2165,2208.949951
26/02/20,2105.803,2135.2966,2076.2673,2084.1907,2219.699951,2284,2201.600098,2251.100098
27/02/20,2118.5847,2148.2397,2088.968,2096.7908,2256.800049,2265,2140,2168.949951
28/02/20,2128.6797,2158.5188,2099.0383,2106.758,2163,2218.399902,2123.199951,2150.300049
02/03/20,2132.0205,2161.8853,2102.226,2109.9602,"2,162.00","2,183.20","2,110.25","2,127.25"
