Open,High,Low,Close,Volume
76,79,71,75.224998,50796
76,76.5,73.150002,74.275002,18488
75.699997,75.900002,71.050003,71.974998,18392
71.675003,73.375,65.074997,67.974998,26602
67.5,67.5,64.050003,65.449997,16390
64.550003,66,64.5,64.650002,8102
64.525002,66.5,63.650002,64.5,9118
64,68.5,64,67.699997,11492
60.5,67.5,60.5,65.875,6428
66.875,78.5,66.875,69.375,52906
69.5,74,69.5,70.574997,15488
71,71.75,69.050003,69.525002,16558
68.175003,69.900002,66.050003,67.449997,9348
67.574997,67.625,65.025002,65.550003,12440
64.775002,65.5,63.525002,64.449997,13878
67.5,67.5,64,65.324997,8772
65.75,67.5,64.125,66.400002,25188
67.949997,68.75,66,66.025002,17302
64.400002,66.5,64.150002,66.300003,6814
66.349998,67.5,64,64.824997,8650
65.949997,65.949997,63,64.199997,13840
64.324997,65,63.474998,63.924999,5906
62,64.375,62,63.575001,2836
66,66,62.525002,63.200001,8436
63.5,65.5,62.5,64.724998,5660
69.5,69.5,64.25,65.275002,15898
65,65.474998,64.550003,64.800003,4856
65.25,65.949997,65,65.125,6538
64.125,67.75,64.125,67.525002,16652
69.449997,69.449997,64.349998,66.724998,14302
64.150002,66.324997,64.150002,65.050003,10110
65,70,64.150002,64.75,6210
66.25,66.25,64.275002,64.625,3980
68.900002,68.900002,63,63.549999,6756
63.5,64.5,62,63.25,21460
63.75,65.75,63.75,65.5,8306
66.5,66.5,64.25,65.875,9892
66.400002,66.675003,63.25,66.125,12122
69,69,63.25,63.575001,4562
63.25,64,62,62.075001,6070
62.5,66,62.150002,65.025002,13422
64.775002,67.800003,64,67.400002,28958
67.75,70.5,62.5,65.050003,40754
65.75,65.949997,63.674999,64.400002,13498
64.300003,67,62.075001,63.575001,28782
64.5,64.949997,62.825001,63.724998,6078
64.025002,64.824997,63.575001,64.25,5860
65,65,62.799999,63.325001,10916
64.75,66,63.5,63.674999,15534
64.25,65.474998,64.25,65.074997,12768
65,65.025002,64,64.349998,2334
64.974998,67.474998,64.349998,64.724998,11708
65.900002,65.900002,64.5,64.974998,12876
65,66,64.050003,64.449997,7312
64.550003,66.699997,64.224998,65.925003,23168
66.75,67.949997,65.5,67.125,17394
